Proband_ID,ConditionNr,rotationAngle_x,rotationAngle_y,rotationAngle_z,acceleration,time
0.1,0,11.44413,356.4851,0.2640205,356.6688,108.4963
0.1,0,11.38115,356.4618,0.2904787,-0.005462646,108.6105
0.1,0,11.36349,356.4487,0.311835,-0.003601074,108.7105
0.1,0,11.24611,356.4441,0.3372881,0.002929688,108.8105
0.1,0,11.04242,356.4052,0.3102072,-0.02029419,108.9105
0.1,0,10.90892,356.3806,0.3170373,0.001068115,109.0105
0.1,0,10.79326,356.398,0.3926008,0.0009765625,109.1105
0.1,0,10.76706,356.3697,0.4721695,-0.02050781,109.2105
0.1,0,10.85426,356.2606,0.4986973,-0.004669189,109.3105
0.1,0,10.83913,356.2937,0.5104638,0.005737305,109.4105
0.1,0,10.82255,356.3506,0.5149413,0.005432129,109.5105
0.1,0,10.7654,356.3984,0.504982,-0.0003051758,109.6105
0.1,0,10.77308,356.364,0.4988984,-0.006439209,109.7105
0.1,0,10.88429,356.3241,0.4445853,0.005340576,109.8105
0.1,0,10.97025,356.3693,0.4374973,0.005065918,109.9105
0.1,0,10.9317,356.4077,0.3752887,0.02789307,110.0105
0.1,0,11.0064,356.4473,0.3221218,0.005950928,110.1105
0.1,0,11.09955,356.4874,0.2801389,0.004180908,110.2105
0.1,0,11.12091,356.5012,0.2922525,0.0003662109,110.3105
0.1,0,11.09624,356.4507,0.3093224,-0.004455566,110.4105
0.1,0,11.09728,356.4512,0.324108,-6.103516E-05,110.5105
0.1,0,11.10347,356.4736,0.3210878,0.002258301,110.6105
0.1,0,11.17796,356.4567,0.3261732,0.001403809,110.7105
0.1,0,11.34108,356.4747,0.3517826,0.004272461,110.8105
0.1,0,11.31937,356.4424,0.3886653,-0.003417969,110.9105
0.1,0,11.26164,356.425,0.3524855,0.006835938,111.0105
0.1,0,11.27339,356.4549,0.330511,0.005584717,111.1105
0.1,0,11.31694,356.4728,0.3280602,-0.001464844,111.2105
0.1,0,11.35103,356.4605,0.357599,0.0003967285,111.3105
0.1,0,11.38943,356.4247,0.417086,0.001190186,111.4105
0.1,0,11.41262,356.4467,0.4328923,0.005462646,111.5105
0.1,0,11.38404,356.4634,0.4420035,6.103516E-05,111.6105
0.1,0,11.43499,356.4671,0.423473,0.002929688,111.7105
0.1,0,11.46342,356.4443,0.4348905,-0.001342773,111.8105
0.1,0,11.37764,356.4214,0.415404,-0.003723145,111.9105
0.1,0,11.35104,356.4248,0.4345839,0.004821777,112.0105
0.1,0,11.39155,356.3887,0.4385295,-0.002044678,112.1105
0.1,0,11.41122,356.3609,0.4617952,-0.001831055,112.2105
0.1,0,11.38521,356.299,0.4561159,-0.004638672,112.3105
0.1,0,11.43424,356.3152,0.4845239,0.003173828,112.4105
0.1,0,11.56073,356.3836,0.4606251,0.001617432,112.5105
0.1,0,11.65085,356.4248,0.465296,0.0004272461,112.6105
0.1,0,11.66347,356.3949,0.4949651,-0.004760742,112.7105
0.1,0,11.70193,356.3799,0.5041373,0.004089355,112.8105
0.1,0,11.84802,356.4072,0.4948427,-0.004119873,112.9105
0.1,0,11.95081,356.4678,0.4384978,0.004058838,113.0105
0.1,0,12.19522,356.5549,0.4180472,0.01461792,113.1105
0.1,0,12.94,357.1188,0.487272,0.09869385,113.2105
0.1,0,14.5531,358.4022,1.033997,0.2034607,113.3105
0.1,0,16.37689,358.8342,1.118465,-0.04095459,113.4105
0.1,0,17.17715,358.1216,0.9735163,-0.08544922,113.5105
0.1,0,17.66235,357.6559,1.054677,-0.01885986,113.6105
0.1,0,17.76094,357.269,1.331964,-0.06628418,113.7105
0.1,0,16.83575,356.3753,1.420305,-0.1132507,113.8105
0.1,0,15.6423,355.6118,1.48939,-0.04458618,113.9105
0.1,0,14.46232,355.1352,1.544525,-0.03591919,114.0105
0.1,0,13.71982,354.6982,1.562727,-0.02688599,114.1105
0.1,0,13.67598,353.923,1.492938,-0.0788269,114.2105
0.1,0,14.33226,353.4019,1.663979,0.02212524,114.3105
0.1,0,15.5053,353.6781,2.502235,0.05987549,114.4105
0.1,0,15.94471,353.2621,3.382031,-0.06735229,114.5105
0.1,0,15.70188,352.5979,3.666327,-0.03433228,114.6105
0.1,0,15.60289,352.4374,3.615867,-0.0002441406,114.7105
0.1,0,15.4974,352.62,3.310481,0.005584717,114.8105
0.1,0,15.24178,351.9119,3.082753,-0.07293701,114.9105
0.1,0,14.76538,352.2028,2.148854,0.1046753,115.0105
0.1,0,14.71401,352.866,1.551499,0.06893921,115.1105
0.1,0,14.73551,353.4423,1.704066,0.1116638,115.2105
0.1,0,14.77278,354.2537,1.872844,0.05096436,115.3105
0.1,0,14.69683,354.3445,1.923103,-0.01269531,115.4105
0.1,0,14.82699,353.9617,1.988853,-0.004241943,115.5105
0.1,0,14.85668,353.7837,2.12127,0.0118103,115.6105
0.1,0,15.72589,353.9473,2.299858,0.04595947,115.7105
0.1,0,15.87504,354.1705,1.983615,0.09487915,115.8105
0.1,0,16.06844,355.1622,1.711823,0.119751,115.9105
0.1,0,16.16545,355.9263,1.84917,0.005981445,116.0105
0.1,0,15.86706,355.9657,1.722971,-0.02496338,116.1105
0.1,0,15.85467,356.2453,1.553843,0.08984375,116.2105
0.1,0,16.18468,357.3335,1.461087,0.1343079,116.3105
0.1,0,16.33017,358.3025,1.333214,0.09344482,116.4105
0.1,0,16.58611,359.2172,1.482347,0.09689331,116.5105
0.1,0,16.79653,359.1677,1.27749,-0.07662964,116.6105
0.1,0,16.79475,358.4638,1.2806,-0.07119751,116.7105
0.1,0,16.70111,357.7965,1.411301,-0.1070557,116.8105
0.1,0,16.50098,357.3577,1.527025,-0.08352661,116.9105
0.1,0,16.51468,357.2107,1.56827,-0.04302979,117.0105
0.1,0,16.42741,356.7195,1.551763,-0.07785034,117.1105
0.1,0,16.1117,356.5392,1.671351,-0.005828857,117.2105
0.1,0,15.79367,356.8653,1.849631,0.03231812,117.3105
0.1,0,15.40525,357.1292,1.805689,0.01049805,117.4105
0.1,0,14.89226,357.247,1.339471,0.0005493164,117.5105
0.1,0,14.18056,357.378,1.179469,-0.002380371,117.6105
0.1,0,13.76236,357.4155,1.224488,0.002319336,117.7105
0.1,0,13.8297,357.4124,1.298877,-0.007751465,117.8105
0.1,0,13.8873,357.3932,1.277579,0.0003051758,117.9105
0.1,0,13.78715,357.3885,1.279649,0.01068115,118.0105
0.1,0,13.74381,357.3759,1.317375,-0.006225586,118.1105
0.1,0,13.85378,357.3625,1.375803,0.003631592,118.2105
0.1,0,14.01947,357.2626,1.367569,-0.00894165,118.3105
0.1,0,14.09441,357.1277,1.258415,0.008666992,118.4105
0.1,0,14.15433,356.9833,1.174713,-0.009429932,118.5105
0.1,1,0,0,0,0,331.761
0.1,1,4.607817,357.2478,0.9988943,0.006225586,331.8625
0.1,1,4.660764,357.2704,0.9720992,0.00112915,331.9625
0.1,1,4.652731,357.2425,0.9763038,-0.003295898,332.0625
0.1,1,4.736075,357.291,0.9834977,0.01586914,332.1625
0.1,1,4.931062,357.2676,0.9606063,-0.003173828,332.2625
0.1,1,5.111451,357.4073,0.9644579,0.02029419,332.3625
0.1,1,5.634072,358.5067,1.025876,0.1968079,332.4625
0.1,1,5.901255,359.6138,0.9238697,0.09439087,332.5625
0.1,1,6.263219,1.027386,0.8130253,0.05262804,332.6625
0.1,1,6.447467,3.203684,0.7208188,0.169157,332.7625
0.1,1,6.33879,7.004732,0.5899616,0.3574314,332.8625
0.1,1,6.191657,11.86871,0.3369346,0.4331741,332.9625
0.1,1,6.045878,16.67358,0.1396236,0.5169811,333.0625
0.1,1,6.517354,22.40743,0.2667092,0.6359673,333.1625
0.1,1,7.471616,28.11204,0.9457554,0.6742802,333.2625
0.1,1,7.850638,34.7183,1.830393,0.830265,333.3625
0.1,1,7.286397,42.49566,1.788113,0.8158722,333.4625
0.1,1,6.405581,48.17396,0.8783019,0.4416351,333.5625
0.1,1,5.58172,50.7887,0.2891578,0.1262779,333.6625
0.1,1,4.870688,50.86724,0.02964356,-0.1251106,333.7625
0.1,1,4.166106,48.14145,359.7458,-0.229187,333.8625
0.1,1,2.607031,39.56641,356.5573,-0.4861145,333.9625
0.1,1,1.191129,29.59813,356.3859,-0.02923584,334.0625
0.1,1,0.1209908,20.42481,357.1237,0.06469727,334.1625
0.1,1,359.6689,11.61249,358.0294,0.03833008,334.2625
0.1,1,0.3256313,2.656733,359.215,0.1547852,334.3625
0.1,1,0.8050654,354.9353,0.6734968,-0.7714539,334.4625
0.1,1,0.9770918,349.322,1.274619,-0.523407,334.5625
0.1,1,1.469715,344.294,1.260615,-0.6000366,334.6625
0.1,1,1.847946,339.0313,1.396727,-0.5942688,334.7625
0.1,1,1.967806,333.9471,1.660122,-0.548584,334.8625
