Proband_ID,ConditionNr,rotationAngle_x,rotationAngle_y,rotationAngle_z,acceleration,time
99,0,8.049293,2.876432,358.5423,358.6441,23.98623
99,0,8.017639,2.82295,358.4124,-0.01449585,24.11042
99,0,8.089439,2.927577,358.4204,-0.001953125,24.21042
99,0,8.040275,2.700171,358.7275,0.0899353,24.31042
99,0,6.627226,2.09342,359.8815,0.2321777,24.41042
99,0,2.892291,0.6817193,2.713587,-0.2575579,24.51042
99,0,358.2703,357.0626,4.15062,-0.6239624,24.61042
99,0,1.641539,351.9272,3.936008,-0.5100098,24.71042
99,0,2.600295,349.7334,3.821674,-0.1285706,24.81042
99,0,4.649925,349.5342,5.589608,0.0375061,24.91042
99,0,6.896282,348.2585,7.17007,-0.2572021,25.01042
99,0,11.04001,341.3004,6.846666,-1.375336,25.11042
99,0,11.01631,333.7989,357.5183,-1.088531,25.21042
99,0,12.72122,335.2448,353.115,0.3327026,25.31042
99,0,13.1141,339.2088,0.08090828,0.1190186,25.41042
99,0,13.84798,340.4051,359.1935,0.1320801,25.51042
99,0,12.069,340.0461,357.5086,-0.1013489,25.61042
99,0,9.76105,338.8693,358.5353,0.04269409,25.71042
99,0,8.483999,336.7763,358.0238,-0.3110046,25.81042
99,0,6.911285,331.5198,357.886,-0.3822327,25.91042
99,0,5.250656,327.3897,357.5628,-0.279541,26.01042
99,0,4.895668,325.3699,357.6516,0.04885864,26.11042
99,0,4.914298,324.8352,357.6825,-0.06964111,26.21042
99,0,3.788688,323.7428,358.5308,-0.001983643,26.31042
99,0,4.326239,323.5409,357.9971,-0.1325989,26.41042
99,0,3.659652,323.3142,358.8216,-0.09222412,26.51042
99,0,3.102053,322.4924,359.2572,-0.1843872,26.61042
99,0,0.256052,322.3216,1.726783,0.1385498,26.71042
99,0,358.5463,322.3416,3.078387,0.09103394,26.81042
99,0,356.8917,322.5948,3.036948,0.04379272,26.91042
99,0,356.8706,322.4601,3.133136,0.06668091,27.01042
99,0,356.9018,322.434,3.112931,0,27.11042
99,0,356.9229,322.3804,3.077925,0.007049561,27.21042
99,0,356.9687,322.3759,3.086979,-0.001495361,27.31042
99,0,356.9814,322.1476,3.320103,-0.1675415,27.41042
99,0,356.9926,322.1472,3.331957,-0.01306152,27.51042
99,0,357.0979,322.1682,3.312855,0.0199585,27.61042
99,0,357.1006,322.1369,3.31324,0.003082275,27.71042
99,0,357.1375,322.1345,3.316791,-0.01263428,27.81042
99,0,357.1944,322.1171,3.292147,0.002929688,27.91042
99,0,357.1939,322.1133,3.312913,-0.008331299,28.01042
99,0,357.2353,322.1297,3.307336,-0.0003662109,28.11042
99,0,357.2624,322.114,3.315028,-0.002685547,28.21042
99,0,357.3083,322.1088,3.309929,-0.0004272461,28.31042
99,0,357.3375,322.0958,3.323309,-0.007843018,28.41042
99,0,357.3516,322.0969,3.316537,-0.001739502,28.51042
99,0,357.4019,322.099,3.318508,0.006622314,28.61042
99,0,357.4162,322.1002,3.328483,-0.0009155273,28.71042
99,0,357.4548,322.1044,3.317095,-0.004516602,28.81042
99,0,357.4694,322.0929,3.324199,0.00402832,28.91042
99,0,357.4987,322.095,3.322005,0.001190186,29.01042
99,0,357.5323,322.0957,3.330158,3.051758E-05,29.11042
99,0,357.5592,322.091,3.331377,-0.002410889,29.21042
99,0,357.5926,322.097,3.331423,0.0009765625,29.31042
99,0,357.6221,322.0883,3.326611,-0.004760742,29.41042
99,0,357.6531,322.0827,3.320997,0.006591797,29.51042
99,0,357.6813,322.0933,3.328149,-9.155273E-05,29.61042
99,0,357.7057,322.0824,3.316704,0.003417969,29.71042
99,0,357.7242,322.0835,3.321737,0.007537842,29.81042
99,0,357.738,322.0802,3.330537,0.008148193,29.91042
99,0,357.7754,322.0869,3.319987,0.008911133,30.01042
99,0,357.7848,322.076,3.328749,-0.001159668,30.11042
99,0,357.7969,322.0865,3.329433,0.004760742,30.21042
99,0,357.8179,322.0759,3.336111,0.003936768,30.31042
99,0,357.8397,322.0699,3.341009,0.00289917,30.41042
99,0,357.8566,322.074,3.337199,0.008148193,30.51042
99,0,357.87,322.07,3.337285,-0.000793457,30.61042
99,0,357.8866,322.0504,3.327653,-0.01739502,30.71042
99,0,357.9179,322.0599,3.34091,0.001922607,30.81042
99,0,357.9341,322.0637,3.332886,0.006408691,30.91042
99,0,357.9629,322.0624,3.330912,0.008972168,31.01042
99,0,357.9757,322.0605,3.334913,-0.004882813,31.11042
99,0,357.9932,322.0591,3.327608,0.001708984,31.21042
99,0,358.0096,322.0469,3.323757,0.002807617,31.31042
99,0,358.0186,322.0443,3.325692,-0.005981445,31.41042
99,0,358.0451,322.0468,3.320626,-0.002807617,31.51042
99,0,358.0537,322.0488,3.31782,0.001159668,31.61042
99,0,358.0821,322.0488,3.311258,0.002990723,31.71042
99,0,358.0921,322.0347,3.321612,-0.0001525879,31.81042
99,0,358.0873,322.0494,3.308033,-0.006713867,31.91042
99,0,358.1074,322.0443,3.317435,0.007202148,32.01042
99,0,358.1252,322.0359,3.311014,-0.00201416,32.11042
99,0,358.1419,322.0408,3.312113,0.005218506,32.21042
99,0,358.1458,322.0352,3.30951,-0.005859375,32.31042
99,0,358.1564,322.0467,3.308756,0.002838135,32.41042
99,0,358.1668,322.0415,3.316276,-0.0004577637,32.51042
99,0,358.1742,322.0453,3.313021,-0.007720947,32.61042
99,0,358.1977,322.0439,3.323524,0.01339722,32.71042
99,0,358.1943,322.0372,3.31764,-0.005950928,32.81042
99,0,358.2202,322.0361,3.309181,0.003356934,32.91042
99,0,358.2229,322.0361,3.325017,0.0008850098,33.01042
99,0,358.226,322.0453,3.323215,-0.009918213,33.11042
99,0,358.2329,322.0357,3.325183,-0.005432129,33.21042
99,0,358.2409,322.0381,3.326148,0.005462646,33.31042
99,0,358.2512,322.0399,3.318388,0.00177002,33.41042
99,0,358.247,322.04,3.31997,0.0009460449,33.51042
99,0,358.257,322.0381,3.322119,0.003143311,33.61042
99,0,358.2527,322.045,3.329921,9.155273E-05,33.71042
99,0,358.2453,322.0238,3.334597,-0.02120972,33.81042
99,0,358.2689,322.0456,3.326082,-0.01107788,33.91042
99,0,358.2829,322.0398,3.32084,0.006164551,34.01042
99,0,358.2887,322.0404,3.320916,-0.0009155273,34.11042
99,0,358.2919,322.0413,3.331163,0.004821777,34.21042
99,0,358.3072,322.0339,3.322709,0.0007019043,34.31042
99,0,358.3134,322.0358,3.326413,0.009063721,34.41042
99,0,358.3231,322.0391,3.320341,0.00402832,34.51042
99,0,358.3465,322.0417,3.322562,0.004333496,34.61042
99,0,358.3439,322.0369,3.333198,-0.0005493164,34.71042
99,0,358.3591,322.0375,3.326607,0.0004272461,34.81042
99,0,358.371,322.0403,3.326869,0.00100708,34.91042
99,0,358.384,322.0421,3.325333,0.005065918,35.01042
99,0,358.3928,322.036,3.311727,0.008728027,35.11042
99,0,358.4069,322.0327,3.320661,0.004089355,35.21042
99,0,358.4141,322.0433,3.322622,0.002838135,35.31042
99,0,358.424,322.0391,3.332317,0.004455566,35.41042
99,0,358.4275,322.0439,3.312413,0.001190186,35.51042
99,0,358.4406,322.0436,3.322086,0.001525879,35.61042
99,0,358.4449,322.0406,3.329566,0.003570557,35.71042
99,0,358.4603,322.0411,3.322119,0.003845215,35.81042
99,0,358.4618,322.0353,3.333358,0.003753662,35.91042
99,0,358.4697,322.0375,3.329247,0.003112793,36.01042
99,0,358.4839,322.0364,3.333616,0.01251221,36.11042
99,0,358.4757,322.0347,3.336046,0.00567627,36.21042
99,0,358.4889,322.0495,3.333278,0.01980591,36.31042
99,0,358.4763,322.0381,3.340114,0.01495361,36.41042
99,0,358.4658,322.0365,3.345136,0.01025391,36.51042
99,0,358.4821,322.0369,3.348187,0.00302124,36.61042
99,0,358.4889,322.0446,3.347039,-0.006408691,36.71042
99,0,358.4962,322.0471,3.348632,0.0009460449,36.81042
99,0,358.4989,322.0411,3.339416,0.002410889,36.91042
99,0,358.5206,322.0353,3.329982,-0.0003662109,37.01042
99,0,358.5207,322.0421,3.328492,0.002502441,37.11042
99,0,358.5205,322.0321,3.315438,-0.01342773,37.21042
99,0,358.5385,322.0436,3.327896,0.002380371,37.31042
99,0,358.5305,322.032,3.338035,-0.01400757,37.41042
99,0,358.541,322.0371,3.320194,-0.001617432,37.51042
99,0,358.5366,322.0347,3.320305,-0.00112915,37.61042
99,0,358.5395,322.0299,3.314203,-0.002471924,37.71042
99,0,358.5456,322.0299,3.32585,0.0004272461,37.81042
99,0,358.5422,322.0303,3.318681,-0.0111084,37.91042
99,0,358.5606,322.0353,3.319961,0.00201416,38.01042
99,0,358.5584,322.0375,3.327062,-0.006774902,38.11042
